epoch,loss
0,0.5429944062232971
1,0.4096278886795044
2,0.33343525981903077
3,0.2651339910030365
4,0.17983554542064667
5,0.11421783149242401
6,0.07583884719014168
7,0.03600756525993347
8,0.017824732273817062
9,0.019590686842799188
10,0.02618004631996155
11,0.03396192598342895
12,0.05334620366990566
13,0.022856143817305566
14,0.014933727776631713
15,0.010245219327509403
16,0.004153269278816879
17,0.0013859699985478073
18,0.0028253838201635515
19,0.0022217236808501186
20,0.003379068778012879
21,0.001424845318775624
22,0.00026384599249286114
23,9.052156998222927e-05
24,5.720227608981077e-05
25,3.861829693778418e-05
26,3.065540014358703e-05
27,2.5481371820205822e-05
28,2.0897791837342084e-05
29,1.7313545489741954e-05
30,1.4514939713990316e-05
31,1.207849813363282e-05
32,9.821207997447346e-06
33,8.119358537442167e-06
34,6.6070581360691e-06
35,5.456058494019089e-06
36,4.5697046118675646e-06
37,3.826559310255107e-06
38,3.2671791977918475e-06
39,2.7987077610305276e-06
40,2.412093972452567e-06
41,2.104024821164785e-06
42,1.8450012903485913e-06
43,1.6398444495280274e-06
44,1.4772165850445162e-06
45,1.3190782196943473e-06
46,1.1876482949446655e-06
47,1.0682059928512898e-06
48,9.751764314387401e-07
49,8.918042030927609e-07
50,8.238552486545814e-07
51,7.666780393265071e-07
52,7.064742485454189e-07
53,6.558995485193009e-07
54,6.113952485975461e-07
55,5.719773807868478e-07
56,5.378925316108507e-07
57,5.076390743852243e-07
58,4.765950538967445e-07
59,4.521870421285712e-07
60,4.2830246275116224e-07
61,4.094098969744664e-07
62,3.8856124069752695e-07
63,3.729389188720233e-07
64,3.5652893075166504e-07
65,3.424732919938833e-07
66,3.3039898744391395e-07
67,3.176125128447893e-07
68,3.065420869461377e-07
69,2.9671215497728554e-07
70,2.863159081698541e-07
71,2.7711587972589767e-07
72,2.687902461957492e-07
73,2.6157155252803933e-07
74,2.533988238155871e-07
75,2.466823568738619e-07
76,2.409395508493617e-07
77,2.3493551384490275e-07
78,2.2957973749271332e-07
79,2.245091304757807e-07
80,2.1955484066893404e-07
81,2.152380188817915e-07
82,2.1069984154564735e-07
83,2.064254687184075e-07
84,2.0339328091267817e-07
85,1.9948517865486793e-07
86,1.961417102620544e-07
87,1.9262549608356493e-07
88,1.8970871394685675e-07
89,1.8703496425587217e-07
90,1.8362308594532807e-07
91,1.814332690628362e-07
92,1.7913393514845666e-07
93,1.7702547449971462e-07
94,1.7423176984721067e-07
95,1.721353529546832e-07
96,1.704851998738377e-07
97,1.6824459225972533e-07
98,1.6624162913103646e-07
99,1.6465935505038942e-07
